City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Cabo San Lucas,MX,22.8909,-109.9124,75.51,71,4,1.01,clear sky
182,Necochea,AR,-38.5473,-58.7368,59.67,49,0,9.78,clear sky
183,George Town,MY,5.4112,100.3354,80.53,92,40,1.01,scattered clouds
184,Ajdabiya,LY,30.7554,20.2263,88.43,19,100,10.71,overcast clouds
185,Port Elizabeth,ZA,-33.918,25.5701,67.1,51,29,11.05,scattered clouds
186,Leshukonskoye,RU,64.8989,45.7622,28.35,94,100,6.17,overcast clouds
187,Garowe,SO,8.4054,48.4845,88.86,27,0,5.44,clear sky
188,Jalu,LY,29.0331,21.5482,89.1,18,27,6.29,scattered clouds
189,Shache,CN,38.4167,77.2406,52.97,27,0,7.36,clear sky
190,Motygino,RU,58.1831,94.7592,41.59,92,100,14.03,light rain
191,Ourossogui,SN,15.6064,-13.3211,96.8,35,96,7.29,overcast clouds
192,Ranong,TH,9.9658,98.6348,78.08,89,91,4.81,overcast clouds
193,Willowmore,ZA,-33.2926,23.4895,64.51,31,3,6.51,clear sky
194,Rudbar,AF,30.15,62.6,67.95,13,81,3.96,broken clouds
195,Bilma,NE,18.6853,12.9164,97.66,8,0,4.97,clear sky
196,Medveditskiy,RU,50.7852,44.7129,45.21,53,100,6.89,overcast clouds
197,Pisco,PE,-13.7,-76.2167,63.01,85,14,4.81,few clouds
198,Arcata,US,40.8665,-124.0828,60.26,94,90,1.01,overcast clouds
199,Wicklow,IE,53.0,-6.4167,55.96,79,15,14.47,few clouds
200,Nenjiang,CN,49.1833,125.2167,41.41,62,12,6.82,few clouds
201,Nanortalik,GL,60.1432,-45.2371,35.73,67,58,11.05,broken clouds
202,Viedma,AR,-40.8135,-62.9967,67.75,18,18,19.77,few clouds
203,Beringovskiy,RU,63.05,179.3167,8.64,84,29,7.14,scattered clouds
204,Kismayo,SO,-0.3582,42.5454,81.09,74,22,15.26,few clouds
205,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,77,75,8.05,broken clouds
206,Store Heddinge,DK,55.3097,12.3889,54.66,67,100,15.97,overcast clouds
207,Vostok,RU,46.4856,135.8833,32.65,77,0,5.3,clear sky
208,Nador,MA,35.174,-2.9287,70.05,68,20,10.36,few clouds
209,Shahrud,IR,36.4182,54.9763,54.93,41,91,9.26,overcast clouds
210,La Ronge,CA,55.1001,-105.2842,34.38,82,23,16.44,few clouds
211,San Juan,AR,-31.5375,-68.5364,73.92,18,0,5.26,clear sky
212,Kaseda,JP,31.4167,130.3167,65.21,74,100,11.59,overcast clouds
213,Malia,GR,35.2833,25.4667,75.81,69,9,7.54,clear sky
214,Abu Samrah,SY,35.3029,37.1841,76.91,23,1,4.14,clear sky
215,Marrakesh,MA,31.6315,-8.0083,82.47,30,75,3.44,broken clouds
216,Safaga,EG,26.7292,33.9365,80.35,49,0,16.53,clear sky
217,Nishiwaki,JP,34.9833,134.9667,59.05,74,100,4.68,overcast clouds
218,Panguipulli,CL,-39.6333,-72.3333,51.51,99,100,2.3,overcast clouds
219,Lucea,JM,18.451,-78.1736,86.86,74,100,8.25,overcast clouds
220,Khandbari,NP,27.3747,87.2039,63.45,86,19,2.3,few clouds
221,Salalah,OM,17.0151,54.0924,80.69,66,9,5.41,clear sky
222,Kiunga,PG,-6.1219,141.2906,73.9,99,100,2.84,moderate rain
223,Hofn,IS,64.2539,-15.2082,48.22,87,75,10.36,broken clouds
224,La Plata,AR,-34.9215,-57.9545,70.03,39,1,10.69,clear sky
225,Guerrero Negro,MX,27.9769,-114.0611,62.89,77,1,10.38,clear sky
226,Liuzhou,CN,24.3126,109.3892,64.18,58,0,7.34,clear sky
227,Kamenka,RU,51.3223,42.7678,45.01,51,85,7.99,overcast clouds
228,Muyezerskiy,RU,63.9333,31.65,23.02,92,95,5.46,overcast clouds
229,Yulara,AU,-25.2406,130.9889,70.59,28,51,17.43,broken clouds
230,Pathein,MM,16.7833,94.7333,76.44,90,100,1.16,overcast clouds
231,Padang,ID,-0.9492,100.3543,77.05,90,100,1.54,overcast clouds
232,Teguldet,RU,57.3064,88.1667,42.15,80,50,12.12,scattered clouds
233,Fuerte Olimpo,PY,-21.0415,-57.8738,72.5,69,88,9.82,overcast clouds
234,Dasoguz,TM,41.8363,59.9666,57.31,20,37,5.77,scattered clouds
235,Salinopolis,BR,-0.6136,-47.3561,85.84,67,23,11.18,few clouds
236,Meadow Lake,US,34.8014,-106.5436,53.96,52,94,3.02,overcast clouds
237,Fort Dodge,US,42.4975,-94.168,43.39,81,90,20.71,light rain
238,Stupava,SK,48.2747,17.0317,56.08,52,0,9.22,clear sky
239,Great Falls,US,47.5002,-111.3008,41.41,73,1,9.22,clear sky
240,Antalaha,MG,-14.9003,50.2788,76.86,90,42,6.31,light rain
241,Sao Filipe,CV,14.8961,-24.4956,81.09,63,5,7.74,clear sky
242,Kenora,CA,49.8167,-94.4337,37.38,82,9,8.01,clear sky
243,Vila Velha,BR,-20.3297,-40.2925,83.25,65,0,14.63,clear sky
244,Vanavara,RU,60.34,102.2797,36.28,97,100,11.9,light rain
245,Luderitz,NA,-26.6481,15.1594,72.0,48,0,28.41,clear sky
246,Mizdah,LY,31.4451,12.9801,83.03,23,0,18.16,clear sky
247,Yanaul,RU,56.2719,54.9309,44.1,64,100,12.17,overcast clouds
248,Thompson,CA,55.7435,-97.8558,26.76,100,90,2.3,overcast clouds
249,Lasa,IT,46.6166,10.7002,56.03,41,0,3.94,clear sky
250,Lincoln,US,40.8,-96.667,49.14,96,100,1.01,light rain
251,Baherden,TM,38.4362,57.4316,63.86,21,99,1.7,overcast clouds
252,Chissamba,AO,-12.1667,17.3333,81.97,45,100,2.75,overcast clouds
253,Teknaf,BD,20.8624,92.3058,77.25,81,32,6.11,scattered clouds
254,Katsuura,JP,35.1333,140.3,59.14,61,98,6.71,overcast clouds
255,Santa Cruz,BO,-17.8,-63.1667,77.59,34,100,18.34,moderate rain
256,Tessalit,ML,20.1986,1.0114,99.66,13,6,5.5,clear sky
257,Doda,IN,33.1333,75.5667,56.77,81,94,2.26,overcast clouds
258,Bengkulu,ID,-3.8004,102.2655,76.78,88,76,3.69,broken clouds
259,Belmonte,BR,-15.8631,-38.8828,81.1,79,46,6.31,scattered clouds
260,Tambura,SS,5.6,27.4667,90.28,46,100,5.59,overcast clouds
261,Cascais,PT,38.6979,-9.4215,77.61,49,0,8.01,clear sky
262,At-Bashi,KG,41.1702,75.8106,33.82,41,0,7.4,clear sky
263,Arkhangelsk,RU,64.5401,40.5433,32.11,80,75,6.71,broken clouds
264,Pedernales,DO,18.0384,-71.744,84.45,57,16,2.1,few clouds
265,Watsa,CD,3.0372,29.5355,79.25,66,100,3.89,overcast clouds
266,Santa Rosa,PH,14.3122,121.1114,81.09,80,100,10.45,overcast clouds
267,Tual,ID,-5.6667,132.75,81.64,80,100,8.7,overcast clouds
268,Sakata,JP,38.9167,139.855,55.53,69,73,3.65,broken clouds
269,Charlestown,AU,-32.95,151.6667,62.69,78,100,2.95,overcast clouds
270,Honiara,SB,-9.4333,159.95,78.51,86,13,2.86,few clouds
271,Santiago Del Estero,AR,-27.7951,-64.2615,75.81,21,0,7.2,clear sky
272,Chkalovsk,RU,56.7647,43.2433,40.59,96,100,9.84,light rain
273,Bandarbeyla,SO,9.4942,50.8122,79.92,68,0,11.27,clear sky
274,Rawson,AR,-43.3002,-65.1023,66.13,29,95,29.84,overcast clouds
275,Poso,ID,-1.3959,120.7524,77.25,88,100,3.89,overcast clouds
276,Gacko,BA,43.1672,18.5353,49.01,55,6,6.91,clear sky
277,Grindavik,IS,63.8424,-22.4338,45.07,93,90,8.05,overcast clouds
278,Tirumala,IN,13.6833,79.35,69.98,83,100,3.09,moderate rain
279,Kabare,CD,-2.4683,28.8242,73.38,70,66,2.62,light rain
280,Pokhara,NP,28.2333,83.9833,62.29,86,0,5.75,clear sky
281,Itacoatiara,BR,-3.1431,-58.4442,91.31,53,49,3.76,scattered clouds
282,Komsomolskiy,UZ,40.4272,71.7189,54.82,22,0,0.74,clear sky
283,Clyde River,CA,70.4692,-68.5914,13.42,79,36,6.64,scattered clouds
284,Shingu,JP,33.7333,135.9833,59.49,81,100,5.75,overcast clouds
285,Bulungu,CD,-4.55,18.6,87.22,53,56,4.61,broken clouds
286,Dezful,IR,32.3811,48.4058,84.24,15,0,6.06,clear sky
287,Kendari,ID,-3.945,122.4989,77.29,89,84,1.59,broken clouds
288,Alihe,CN,50.5667,123.7167,35.56,74,1,3.18,clear sky
289,Tasiilaq,GL,65.6145,-37.6368,30.36,94,100,20.78,snow
290,Stornoway,GB,58.2093,-6.3865,53.92,87,40,23.02,scattered clouds
291,Kavaratti,IN,10.5669,72.642,82.2,71,95,1.32,overcast clouds
292,Muisne,EC,0.6,-80.0333,76.73,83,100,8.86,overcast clouds
293,Hope,US,33.6671,-93.5916,69.24,87,39,9.06,scattered clouds
294,Irtyshskiy,RU,58.3333,68.1333,41.79,90,100,7.16,light rain
295,Saskylakh,RU,71.9167,114.0833,-7.8,99,83,5.73,broken clouds
296,Dunedin,NZ,-45.8742,170.5036,50.74,96,48,5.99,scattered clouds
297,Krasnoselkup,RU,65.7,82.4667,26.62,95,94,17.09,light snow
298,Sabang,ID,5.8933,95.3214,81.7,76,99,6.67,overcast clouds
299,Umm Kaddadah,SD,13.6017,26.6876,96.51,13,4,18.45,clear sky
300,Kiama,AU,-34.6833,150.8667,57.99,86,78,6.4,broken clouds
301,Kavieng,PG,-2.5744,150.7967,82.22,77,66,9.44,light rain
302,Ravar,IR,31.2656,56.8055,64.62,14,0,3.09,clear sky
303,Yambio,SS,4.5721,28.3955,78.58,75,94,3.04,light rain
304,Kuroiso,JP,36.9667,140.05,48.85,75,97,1.28,overcast clouds
305,Hasaki,JP,35.7333,140.8333,45.0,46,99,5.21,overcast clouds
306,Peniche,PT,39.3558,-9.3811,77.74,72,0,8.46,clear sky
307,Barcelona,ES,41.3888,2.159,74.91,56,20,4.0,few clouds
308,Alta Floresta,BR,-9.8756,-56.0861,94.41,40,38,2.71,scattered clouds
309,Dubbo,AU,-32.25,148.6167,46.53,61,0,6.91,clear sky
310,Bartlesville,US,36.7473,-95.9808,72.1,82,1,14.97,clear sky
311,Hambantota,LK,6.1241,81.1185,82.74,83,40,8.05,scattered clouds
312,Iqaluit,CA,63.7506,-68.5145,29.7,86,66,8.99,broken clouds
313,Poindimie,NC,-20.9333,165.3333,73.36,83,66,10.4,broken clouds
314,Leua,SK,48.2156,18.6071,56.5,42,0,5.26,clear sky
315,Angoche,MZ,-16.2325,39.9086,83.01,68,4,20.58,clear sky
316,Zhangye,CN,38.9342,100.4517,46.44,37,30,4.0,scattered clouds
317,Saint-Augustin,CA,51.226,-58.6502,46.56,84,100,12.44,overcast clouds
318,Chuy,UY,-33.6971,-53.4616,63.72,42,0,7.94,clear sky
319,Kirn,DE,49.7833,7.45,59.95,75,0,7.43,clear sky
320,Camapua,BR,-19.5314,-54.0439,72.86,88,100,2.84,light rain
321,Acapulco,MX,16.8634,-99.8901,76.44,86,100,11.18,overcast clouds
322,Tastur,TN,36.5513,9.4431,69.87,66,95,17.69,overcast clouds
323,Phu Ly,VN,20.5411,105.9139,65.64,78,39,4.7,scattered clouds
324,Sola,VU,-13.8833,167.55,80.76,76,23,14.34,few clouds
325,Morros,BR,-9.4467,-46.3003,88.18,49,100,3.11,overcast clouds
326,Quepos,CR,9.4236,-84.1652,87.53,82,61,4.38,broken clouds
327,Mackenzie,CA,55.2999,-123.1698,38.21,87,98,1.9,overcast clouds
328,Tazovskiy,RU,67.4667,78.7,27.21,92,100,14.5,overcast clouds
329,Trat,TH,12.5,102.5,84.97,88,60,6.96,broken clouds
330,Muskegon,US,43.3,-86.1334,43.9,91,75,6.91,broken clouds
331,Oranjemund,NA,-28.55,16.4333,66.22,55,0,28.14,clear sky
332,Klaksvik,FO,62.2266,-6.589,50.92,91,87,24.09,overcast clouds
333,Sheridan,US,44.8333,-106.9173,42.98,69,90,3.44,overcast clouds
334,San Policarpo,PH,12.1791,125.5072,79.45,85,100,4.7,overcast clouds
335,Floro,NO,61.5996,5.0328,52.5,87,75,24.16,moderate rain
336,Hovd,MN,48.0056,91.6419,36.19,29,7,2.48,clear sky
337,Ust-Shonosha,RU,61.1531,41.343,30.49,84,81,8.95,broken clouds
338,Takoradi,GH,4.8845,-1.7554,81.46,79,68,9.33,light rain
339,Vitim,RU,59.4511,112.5578,36.23,97,100,12.44,light rain
340,Didi Lilo,GE,41.7361,44.9647,62.38,26,0,14.97,clear sky
341,Chudniv,UA,50.052,28.1175,44.37,48,100,12.71,overcast clouds
342,Zwedru,LR,6.0667,-8.1281,81.77,84,70,4.23,moderate rain
343,Agadir,MA,30.4202,-9.5982,75.65,61,100,8.43,overcast clouds
344,Krasne,UA,49.9145,24.6134,45.75,49,93,7.78,overcast clouds
345,Neuquen,AR,-38.9516,-68.0591,69.15,30,2,31.52,clear sky
346,Vardo,NO,70.3705,31.1107,30.4,65,49,16.73,scattered clouds
347,Kiruna,SE,67.8557,20.2251,18.52,86,90,0.0,light snow
348,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,73,47,10.29,scattered clouds
